BP,Product,UnitPrice,Qty
"SI Rapid, SA","Cerveza Lager 0,5L","22.29","23"
"Servicios Inmobiliarios Los mejores, SA","Cerveza Lager 0,5L","22.82","23"
"Telefonía SGT, SA","Zumo de Pera 0,5L","22.87","23"
"Telefonía SGT, SA","Cerveza Lager 0,5L","23.09","24"
"Juan López","Vino Tinto 0,75L","23.31","24"
"Servicios Inmobiliarios Los mejores, SA","Bebida Energética 0,5L","23.44","24"
"Hoteles Buenas Noches, S.A.","Vino Blanco 0,75L","24.05","25"
"Javier Martín","Vino Rosado 0,75L","24.80","25"
"La Fruta es la Vida, S.L.","Cola de Cereza 0,5L","25.53","26"
"Restaurantes Luna Llena, S.A.","Cerveza Lager 0,5L","25.98","26"
"Alimentos y Supermercados, S.A","Zumo de Piña 0,5L","26.17","27"
"Telefonía SGT, SA","Limonada 0,5L","26.63","27"
"La Fruta es la Vida, S.L.","Cerveza Lager 0,5L","27.10","28"
"Servicios Inmobiliarios Los mejores, SA","Vino Blanco 0,75L","27.54","28"
"Hoteles Buenas Noches, S.A.","Zumo de Piña 0,5L","29.06","30"
"SI Rapid, SA","Cerveza Ale 0,5L","29.37","30"
"La Fruta es la Vida, S.L.","Cola 0,5L","29.80","30"
"Javier Martín","Cola de Cereza 0,5L","30.32","31"
"Servicios Inmobiliarios Los mejores, SA","Cola de Cereza 0,5L","30.32","31"
"Telefonía SGT, SA","Cola de Cereza 0,5L","32.27","33"
"Hoteles Buenas Noches, S.A.","Limonada 0,5L","32.39","33"
"Telefonía SGT, SA","Vino Blanco 0,75L","32.81","33"
"Refrescos Naturales, S.A.","Vino Rosado 0,75L","33.03","34"
"Bebidas Alegres, S.L.","Vino Tinto 0,75L","35.06","36"
"Hoteles Buenas Noches, S.A.","Cerveza Ale 0,5L","35.10","36"
"Bebidas Alegres, S.L.","Limonada 0,5L","37.04","38"
"Generación Eléctrica, SA","Bebida Energética 0,5L","37.90","38"
"Alimentos y Supermercados, S.A","Bebida Energética 0,5L","39.50","40"
"Alimentos y Supermercados, S.A","Vino Rosado 0,75L","40.76","41"
"Juan López","Bebida Energética 0,5L","40.82","41"
"Javier Martín","Agua sin Gas 1L","40.88","41"
"SI Rapid, SA","Vino Blanco 0,75L","40.93","41"
"Alimentos y Supermercados, S.A","Zumo de Pera 0,5L","41.66","42"
"Generación Eléctrica, SA","Vino Rosado 0,75L","42.10","43"
"Generación Eléctrica, SA","Cerveza Ale 0,5L","42.30","43"
"Generación Eléctrica, SA","Zumo de Pera 0,5L","42.84","43"
"Juan López","Zumo de Pera 0,5L","43.39","44"
"SI Rapid, SA","Bebida Energética 0,5L","43.49","44"
"Servicios Inmobiliarios Los mejores, SA","Cola 0,5L","45.28","46"
"Hoteles Buenas Noches, S.A.","Vino Tinto 0,75L","46.15","47"
"Generación Eléctrica, SA","Vino Tinto 0,75L","46.27","47"
"La Fruta es la Vida, S.L.","Agua sin Gas 1L","47.65","48"
"Juan López","Cerveza Ale 0,5L","49.60","50"
"Hoteles Buenas Noches, S.A.","Cola 0,5L","49.70","50"
"La Fruta es la Vida, S.L.","Vino Tinto 0,75L","49.93","50"
"Juan López","Zumo de Piña 0,5L","51.57","52"
"La Fruta es la Vida, S.L.","Limonada 0,5L","52.04","53"
"Restaurantes Luna Llena, S.A.","Zumo de Piña 0,5L","52.41","53"
"Bebidas Alegres, S.L.","Cerveza Lager 0,5L","52.43","53"
"Alimentos y Supermercados, S.A","Agua sin Gas 1L","54.50","55"
"Bebidas Alegres, S.L.","Zumo de Piña 0,5L","55.28","56"
"Bebidas Alegres, S.L.","Cola 0,5L","55.30","56"
"Bebidas Alegres, S.L.","Zumo de Pera 0,5L","55.38","56"
"Telefonía SGT, SA","Zumo de Naranja Bio 0,33L","55.65","56"
"Telefonía SGT, SA","Vino Rosado 0,75L","55.86","56"
"Refrescos Naturales, S.A.","Cola 0,5L","57.26","58"
"Refrescos Naturales, S.A.","Zumo de Piña 0,5L","57.95","58"
"Javier Martín","Bebida Energética 0,5L","58.18","59"
"Juan López","Zumo de Naranja Bio 0,33L","58.70","59"
"Javier Martín","Zumo de Piña 0,5L","58.82","59"
"Alimentos y Supermercados, S.A","Zumo de Naranja Bio 0,33L","59.06","60"
"Restaurantes Luna Llena, S.A.","Vino Rosado 0,75L","59.77","60"
"Refrescos Naturales, S.A.","Vino Tinto 0,75L","60.09","61"
"SI Rapid, SA","Cola 0,5L","61.56","62"
"Javier Martín","Vino Tinto 0,75L","61.89","62"
"Alimentos y Supermercados, S.A","Limonada 0,5L","62.26","63"
"Juan López","Cola 0,5L","62.32","63"
"Bebidas Alegres, S.L.","Bebida Energética 0,5L","62.59","63"
"Hoteles Buenas Noches, S.A.","Vino Rosado 0,75L","63.59","64"
"Juan López","Vino Blanco 0,75L","64.13","65"
"Javier Martín","Cola 0,5L","64.32","65"
"Servicios Inmobiliarios Los mejores, SA","Zumo de Piña 0,5L","64.82","65"
"Restaurantes Luna Llena, S.A.","Zumo de Pera 0,5L","65.17","66"
"Servicios Inmobiliarios Los mejores, SA","Vino Tinto 0,75L","65.60","66"
"Telefonía SGT, SA","Zumo de Piña 0,5L","66.14","67"
"La Fruta es la Vida, S.L.","Vino Blanco 0,75L","66.54","67"
"La Fruta es la Vida, S.L.","Zumo de Piña 0,5L","66.83","67"
"SI Rapid, SA","Agua sin Gas 1L","67.30","68"
"Bebidas Alegres, S.L.","Zumo de Naranja Bio 0,33L","67.47","68"
"Hoteles Buenas Noches, S.A.","Zumo de Pera 0,5L","67.53","68"
"SI Rapid, SA","Vino Rosado 0,75L","67.89","68"
"Refrescos Naturales, S.A.","Bebida Energética 0,5L","68.75","69"
"Javier Martín","Cerveza Lager 0,5L","69.08","70"
"Alimentos y Supermercados, S.A","Cerveza Lager 0,5L","70.21","71"
"Servicios Inmobiliarios Los mejores, SA","Vino Rosado 0,75L","70.93","71"
"Hoteles Buenas Noches, S.A.","Zumo de Naranja Bio 0,33L","71.24","72"
"Bebidas Alegres, S.L.","Vino Blanco 0,75L","71.51","72"
"Telefonía SGT, SA","Agua sin Gas 1L","72.01","73"
"Javier Martín","Vino Blanco 0,75L","72.33","73"
"Bebidas Alegres, S.L.","Agua sin Gas 1L","72.56","73"
"Javier Martín","Zumo de Naranja Bio 0,33L","72.88","73"
"Generación Eléctrica, SA","Zumo de Piña 0,5L","73.31","74"
"Refrescos Naturales, S.A.","Zumo de Pera 0,5L","75.05","76"
"Alimentos y Supermercados, S.A","Vino Blanco 0,75L","75.92","76"
"Restaurantes Luna Llena, S.A.","Limonada 0,5L","76.56","77"
"Generación Eléctrica, SA","Cerveza Lager 0,5L","76.76","77"
"SI Rapid, SA","Zumo de Naranja Bio 0,33L","77.58","78"
"Restaurantes Luna Llena, S.A.","Bebida Energética 0,5L","78.24","79"
"Generación Eléctrica, SA","Zumo de Naranja Bio 0,33L","78.26","79"
"Refrescos Naturales, S.A.","Cerveza Ale 0,5L","78.35","79"
"Hoteles Buenas Noches, S.A.","Cola de Cereza 0,5L","81.00","82"
"Restaurantes Luna Llena, S.A.","Vino Blanco 0,75L","81.09","82"
"La Fruta es la Vida, S.L.","Zumo de Pera 0,5L","81.55","82"
"Restaurantes Luna Llena, S.A.","Vino Tinto 0,75L","82.19","83"
"SI Rapid, SA","Vino Tinto 0,75L","82.61","83"
"Hoteles Buenas Noches, S.A.","Cerveza Lager 0,5L","82.69","83"
"Restaurantes Luna Llena, S.A.","Cerveza Ale 0,5L","82.74","83"
"SI Rapid, SA","Cola de Cereza 0,5L","82.75","83"
"Javier Martín","Limonada 0,5L","83.33","84"
"Restaurantes Luna Llena, S.A.","Zumo de Naranja Bio 0,33L","85.54","86"
"SI Rapid, SA","Zumo de Pera 0,5L","86.72","87"
"Alimentos y Supermercados, S.A","Vino Tinto 0,75L","87.70","88"
"Alimentos y Supermercados, S.A","Cerveza Ale 0,5L","88.98","89"
"Javier Martín","Cerveza Ale 0,5L","89.75","90"
"Telefonía SGT, SA","Vino Tinto 0,75L","90.81","91"
"Servicios Inmobiliarios Los mejores, SA","Limonada 0,5L","91.06","92"
"Restaurantes Luna Llena, S.A.","Cola 0,5L","92.18","93"
"La Fruta es la Vida, S.L.","Vino Rosado 0,75L","92.28","93"
"Javier Martín","Zumo de Pera 0,5L","92.62","93"
"Bebidas Alegres, S.L.","Vino Rosado 0,75L","93.45","94"
"Juan López","Limonada 0,5L","94.28","95"
"Refrescos Naturales, S.A.","Vino Blanco 0,75L","95.15","96"
"Generación Eléctrica, SA","Cola 0,5L","95.30","96"
"Refrescos Naturales, S.A.","Cerveza Lager 0,5L","96.62","97"
"Bebidas Alegres, S.L.","Cerveza Ale 0,5L","98.70","99"
"La Fruta es la Vida, S.L.","Bebida Energética 0,5L","98.90","99"
"Refrescos Naturales, S.A.","Cola de Cereza 0,5L","99.48","100"
